brand_name,model_name,store_name,store_id,price_brl,url,is_active,id,paddle_id,last_updated,version_id
Joola,Borracha Tronix Cmd,Joola Brasil,14,359.0,https://joola.com.br/products/borracha-joola-tronix-cmd,True,39,08c93caa-4832-4c63-9bf9-b80fa1148cde,2026-03-22 20:47:41.023721,
Joola,Borracha Dynaryz Zgx,Joola Brasil,14,419.0,https://joola.com.br/products/borracha-joola-dynaryz-zgx,True,40,701151dc-db1e-4023-b49b-509bcb2c7712,2026-03-22 20:47:41.037389,
Joola,Raquete Tezzo Warrior,Joola Brasil,14,629.0,https://joola.com.br/products/raquete-joola-tezzo-warrior,True,41,6cab4b73-756e-42d8-8fc4-fd54284f9f57,2026-03-22 20:47:41.051905,
Joola,Fita Para Raquete De Tênis De Mesa Dynaryz,Joola Brasil,14,89.0,https://joola.com.br/products/fita-joola-dynaryz,True,42,1abc7ae0-2bcd-4de8-9083-87f7fe5c9e39,2026-03-22 20:47:41.065009,
Joola,Fita Para Raquete De Tênis De Mesa '20,Joola Brasil,14,89.0,https://joola.com.br/products/fita-joola-20,True,43,37dc02ac-b173-40b9-a720-ab037955ec2d,2026-03-22 20:47:41.078876,
Joola,Adicional: Serviço De Montagem De Raquete (Vermelho No Forehand),Joola Brasil,14,50.0,https://joola.com.br/products/servico-de-montagem-de-raquete-vermelho-no-forehand,True,44,5907e822-4c49-4a5b-923b-912a5e0bd64b,2026-03-22 20:47:41.091312,
Joola,Blade Varnish - Seladora Verniz Para Madeira De Tênis De Mesa,Joola Brasil,14,109.0,https://joola.com.br/products/blade-varnish-joola-seladora-verniz,True,45,f5a9cfce-b962-45a4-b8df-6d1faec55099,2026-03-22 20:47:41.105631,
Joola,Borracha Cwx (Pino Longo),Joola Brasil,14,299.0,https://joola.com.br/products/borracha-joola-cwx,True,46,c7f8488d-c55f-435e-afe4-4de2cbc6b202,2026-03-22 20:47:41.118975,
Joola,Agassi Champion Ss25 -,yoSports,17,449.0,https://yosports.com.br/products/raquete-de-pickleball-joola-agassi-champion-ss25-12-mm,True,72,6011a96f-c8b1-45de-9775-7dd7ec5b5df3,2026-03-22 20:48:08.892327,
Adidas,Adipower Attk3,yoSports,17,1099.0,https://yosports.com.br/products/raquete-de-pickleball-adidas-adipower-attk3,True,73,469e614e-ea22-413d-9d5c-600c304aa2ad,2026-03-22 20:48:08.897287,
Joola,Agassi Edge Ss25,yoSports,17,799.0,https://yosports.com.br/products/raquete-de-pickleball-joola-agassi-edge-ss25-16mm,True,74,cdb9388e-72c6-42f0-a7d7-9ec82dcecd07,2026-03-22 20:48:08.901580,
Joola,Perseus 3S Dual,yoSports,17,1299.0,https://yosports.com.br/products/raquete-de-pickleball-joola-perseus-3s-dual-16mm,True,75,6c537d19-0a04-416f-89ce-cf6be5d4b69b,2026-03-22 20:48:08.905253,
Joola,Hyperion 3S Dual,yoSports,17,1299.0,https://yosports.com.br/products/raquete-de-pickleball-joola-hyperion-3s-dual-16mm,True,76,5321283a-be8a-40f9-95a5-f305db15177a,2026-03-22 20:48:08.909094,
Joola,Scorpeus Heat Vision -,yoSports,17,899.0,https://yosports.com.br/products/raquete-de-pickleball-joola-scorpeus-heat-vision-16mm,True,77,ee7a87e2-ae0b-4038-8fa6-480597a7f0b6,2026-03-22 20:48:08.915588,
Joola,Perseus Double Vision -,yoSports,17,999.0,https://yosports.com.br/products/raquete-de-pickleball-joola-perseus-double-vision-16mm,True,78,410a3803-5bfc-40bd-877e-4e2d5003e5ff,2026-03-22 20:48:08.919981,
Joola,Hyperion Double Vision -,yoSports,17,999.0,https://yosports.com.br/products/raquete-de-pickleball-joola-hyperion-double-vision-16mm,True,79,d76f10cb-4d45-4df9-bf65-1564fd66aa48,2026-03-22 20:48:08.925701,
Joola,Agassi Edge Heat Vision -,yoSports,17,899.0,https://yosports.com.br/products/raquete-de-pickleball-joola-agassi-heat-vision-16mm,True,80,774c51c0-891a-4420-903f-7fa85c520c95,2026-03-22 20:48:08.933260,
Joola,Ben Johns Hyperion 3S,yoSports,17,1299.0,https://yosports.com.br/products/raquete-de-pickleball-joola-ben-johns-hyperion-3s-16mm,True,81,63bd95c9-97be-4e9f-a672-af0ca4c713c4,2026-03-22 20:48:08.942114,
